"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8550","addLeadForBasicProjectLead","Default suite","Wed Sep 03 17:05:26 IST 2025","passed","Wed Sep 03 17:05:35 IST 2025","tests.AddProjectLeadTest","Default test","tests.AddProjectLeadTest","addLeadForBasicProjectLead"
"","836","eventRegistration","Surefire suite","Thu Sep 04 11:13:00 IST 2025","passed","Thu Sep 04 11:13:01 IST 2025","playwright.EventRegistrationTest","Surefire test","playwright.EventRegistrationTest","eventRegistration"
"","0","addLeadForFund","Surefire suite","Thu Sep 04 11:11:35 IST 2025","skipped","Thu Sep 04 11:11:35 IST 2025","tests.AddFundLeadTest","Surefire test","tests.AddFundLeadTest","addLeadForFund"
"","8947","addLeadForBasicProjectLead","Surefire suite","Thu Sep 04 11:10:52 IST 2025","passed","Thu Sep 04 11:11:01 IST 2025","tests.AddProjectLeadTest","Surefire test","tests.AddProjectLeadTest","addLeadForBasicProjectLead"
"","11773","addLeadForAdditionalProjectLeadTest","Surefire suite","Thu Sep 04 11:05:25 IST 2025","passed","Thu Sep 04 11:05:37 IST 2025","tests.AddProjectLeadTest","Surefire test","tests.AddProjectLeadTest","addLeadForAdditionalProjectLeadTest"
"","832","eventRegistration","Surefire suite","Thu Sep 04 11:13:01 IST 2025","passed","Thu Sep 04 11:13:02 IST 2025","playwright.EventRegistrationTest","Surefire test","playwright.EventRegistrationTest","eventRegistration"
"","11887","addLeadForAdditionalProjectLeadTest","Surefire suite","Thu Sep 04 11:08:27 IST 2025","passed","Thu Sep 04 11:08:39 IST 2025","tests.AddProjectLeadTest","Surefire test","tests.AddProjectLeadTest","addLeadForAdditionalProjectLeadTest"
"","12514","addLeadForAdditionalProjectLeadTest","Surefire suite","Thu Sep 04 11:09:51 IST 2025","passed","Thu Sep 04 11:10:03 IST 2025","tests.AddProjectLeadTest","Surefire test","tests.AddProjectLeadTest","addLeadForAdditionalProjectLeadTest"
"","8608","addLeadForBasicProjectLead","Default suite","Wed Sep 03 17:06:09 IST 2025","passed","Wed Sep 03 17:06:18 IST 2025","tests.AddProjectLeadTest","Default test","tests.AddProjectLeadTest","addLeadForBasicProjectLead"
"","2249","eventRegistration","Surefire suite","Thu Sep 04 11:12:00 IST 2025","passed","Thu Sep 04 11:12:02 IST 2025","playwright.EventRegistrationTest","Surefire test","playwright.EventRegistrationTest","eventRegistration"
"","11373","addLeadForAdditionalProjectLeadTest","Surefire suite","Thu Sep 04 11:07:31 IST 2025","passed","Thu Sep 04 11:07:43 IST 2025","tests.AddProjectLeadTest","Surefire test","tests.AddProjectLeadTest","addLeadForAdditionalProjectLeadTest"
"","8585","addLeadForBasicProjectLead","Default suite","Wed Sep 03 17:05:15 IST 2025","passed","Wed Sep 03 17:05:24 IST 2025","tests.AddProjectLeadTest","Default test","tests.AddProjectLeadTest","addLeadForBasicProjectLead"
"","996","eventRegistration","Surefire suite","Thu Sep 04 11:12:50 IST 2025","passed","Thu Sep 04 11:12:51 IST 2025","playwright.EventRegistrationTest","Surefire test","playwright.EventRegistrationTest","eventRegistration"
"","8611","addLeadForBasicProjectLead","Default suite","Wed Sep 03 17:05:48 IST 2025","passed","Wed Sep 03 17:05:56 IST 2025","tests.AddProjectLeadTest","Default test","tests.AddProjectLeadTest","addLeadForBasicProjectLead"
"","1014","eventRegistration","Surefire suite","Thu Sep 04 11:12:29 IST 2025","passed","Thu Sep 04 11:12:30 IST 2025","playwright.EventRegistrationTest","Surefire test","playwright.EventRegistrationTest","eventRegistration"
"","979","eventRegistration","Surefire suite","Thu Sep 04 11:13:08 IST 2025","passed","Thu Sep 04 11:13:09 IST 2025","playwright.EventRegistrationTest","Surefire test","playwright.EventRegistrationTest","eventRegistration"
